Time,SSC_50cm(kg/m3),depth
2014/9/25 23:18,0.15,2.38
2014/9/25 23:20,0.16,2.41
2014/9/25 23:22,0.14,2.44
2014/9/25 23:24,0.14,2.46
2014/9/25 23:26,0.14,2.48
2014/9/25 23:28,0.15,2.5
2014/9/25 23:30,0.14,2.53
2014/9/25 23:32,0.13,2.55
2014/9/25 23:34,0.13,2.57
2014/9/25 23:36,0.13,2.6
2014/9/25 23:38,0.12,2.62
2014/9/25 23:40,0.14,2.64
2014/9/25 23:42,0.13,2.67
2014/9/25 23:44,0.13,2.69
2014/9/25 23:46,0.12,2.7
2014/9/25 23:48,0.11,2.72
2014/9/25 23:50,0.12,2.75
2014/9/25 23:52,0.12,2.76
2014/9/25 23:54,0.11,2.78
2014/9/25 23:56,0.11,2.81
2014/9/25 23:58,0.11,2.83
2014/9/26 0:00,0.11,2.85
2014/9/26 0:02,0.11,2.87
2014/9/26 0:04,0.11,2.89
2014/9/26 0:06,0.12,2.91
2014/9/26 0:08,0.12,2.93
2014/9/26 0:10,0.11,2.94
2014/9/26 0:12,0.12,2.96
2014/9/26 0:14,0.11,2.98
2014/9/26 0:16,0.12,2.99
2014/9/26 0:18,0.11,3.01
2014/9/26 0:20,0.11,3.02
2014/9/26 0:22,0.11,3.04
2014/9/26 0:24,0.11,3.05
2014/9/26 0:26,0.12,3.06
2014/9/26 0:28,0.12,3.08
2014/9/26 0:30,0.12,3.09
2014/9/26 0:32,0.12,3.1
2014/9/26 0:34,0.11,3.11
2014/9/26 0:36,0.11,3.12
2014/9/26 0:38,0.11,3.13
2014/9/26 0:40,0.11,3.14
2014/9/26 0:42,0.11,3.14
2014/9/26 0:44,0.11,3.15
2014/9/26 0:46,0.11,3.16
2014/9/26 0:48,0.11,3.16
2014/9/26 0:50,0.12,3.17
2014/9/26 0:52,0.11,3.17
2014/9/26 0:54,0.11,3.18
2014/9/26 0:56,0.11,3.18
2014/9/26 0:58,0.11,3.18
2014/9/26 1:00,0.11,3.18
2014/9/26 1:02,0.11,3.18
2014/9/26 1:04,0.11,3.17
2014/9/26 1:06,0.11,3.17
2014/9/26 1:08,0.11,3.17
2014/9/26 1:10,0.11,3.16
2014/9/26 1:12,0.11,3.16
2014/9/26 1:14,0.11,3.16
2014/9/26 1:16,0.11,3.16
2014/9/26 1:18,0.11,3.16
2014/9/26 1:20,0.11,3.16
2014/9/26 1:22,0.11,3.16
2014/9/26 1:24,0.11,3.15
2014/9/26 1:26,0.11,3.16
2014/9/26 1:28,0.11,3.15
2014/9/26 1:30,0.11,3.16
2014/9/26 1:32,0.11,3.16
2014/9/26 1:34,0.1,3.15
2014/9/26 1:36,0.1,3.15
2014/9/26 1:38,0.1,3.15
2014/9/26 1:40,0.1,3.14
2014/9/26 1:42,0.11,3.14
2014/9/26 1:44,0.11,3.14
2014/9/26 1:46,0.11,3.14
2014/9/26 1:48,0.11,3.14
2014/9/26 1:50,0.11,3.13
2014/9/26 1:52,0.11,3.12
2014/9/26 1:54,0.11,3.11
2014/9/26 1:56,0.11,3.09
2014/9/26 1:58,0.1,3.08
